filename,artist,chroma,mode,instrument,mode_val,mode_valsum,pcd0,pcd1,pcd2,pcd3,pcd4,pcd5,pcd6,pcd7,pcd8,pcd9,pcd10,pcd11,krum0maj,krum1maj,krum2maj,krum3maj,krum4maj,krum5maj,krum6maj,krum7maj,krum8maj,krum9maj,krum10maj,krum11maj,krum0min,krum1min,krum2min,krum3min,krum4min,krum5min,krum6min,krum7min,krum8min,krum9min,krum10min,krum11min
wtc1p01_0.krn,kern,0,major,S,0.238,0.001,0.314,0.0,0.057,0.0,0.057,0.086,0.029,0.314,0.029,0.029,0.0,0.086,0.884,-0.381,-0.035,0.058,-0.325,0.389,-0.478,0.69,-0.059,-0.387,0.005,-0.36,0.646,-0.4,-0.009,-0.5,0.47,0.195,-0.431,0.398,-0.322,0.334,-0.355,-0.026
wtc1p02_0.krn,kern,0,minor,S,-0.082,-0.0,0.125,0.0,0.086,0.109,0.07,0.125,0.055,0.203,0.109,0.047,0.062,0.008,0.584,-0.218,-0.127,0.534,-0.509,0.359,-0.547,0.386,0.27,-0.56,0.339,-0.51,0.666,-0.517,0.128,-0.167,0.179,0.413,-0.546,0.613,-0.166,0.054,-0.259,-0.397
wtc1p03_1.krn,kern,1,major,S,0.256,0.001,0.042,0.417,0.0,0.146,0.0,0.156,0.094,0.0,0.083,0.0,0.062,0.0,-0.421,0.876,-0.419,-0.013,-0.139,-0.164,0.535,-0.55,0.4,-0.056,-0.085,0.037,-0.135,0.551,-0.198,0.229,-0.527,0.342,0.197,-0.343,0.028,-0.457,0.62,-0.307
wtc1p04_1.krn,kern,1,minor,S,-0.233,-0.001,0.073,0.162,0.0,0.118,0.176,0.0,0.122,0.0,0.251,0.058,0.005,0.035,-0.316,0.513,-0.304,-0.113,0.58,-0.598,0.27,-0.475,0.528,0.231,-0.649,0.333,-0.117,0.813,-0.61,0.09,-0.028,0.155,0.232,-0.65,0.611,-0.12,-0.075,-0.3
wtc1p05_2.krn,kern,2,major,S,0.046,-0.001,0.0,0.115,0.183,0.026,0.131,0.0,0.178,0.058,0.052,0.157,0.005,0.094,-0.222,-0.19,0.843,-0.701,0.391,-0.432,0.163,0.266,-0.604,0.785,-0.521,0.221,-0.655,0.31,0.181,-0.148,0.231,-0.684,0.797,-0.212,-0.149,0.112,-0.399,0.616
wtc1p06_2.krn,kern,2,minor,S,-0.191,-0.002,0.139,0.005,0.238,0.021,0.067,0.131,0.016,0.129,0.011,0.103,0.12,0.019,0.537,-0.511,0.444,0.039,-0.554,0.667,-0.624,0.517,-0.316,-0.069,0.603,-0.733,0.22,-0.613,0.858,-0.436,0.035,0.024,-0.278,0.609,-0.701,0.352,-0.122,0.054
wtc1p07_3.krn,kern,3,major,S,0.216,-0.004,0.134,0.028,0.079,0.22,0.018,0.12,0.001,0.117,0.092,0.013,0.175,0.003,0.072,0.044,-0.524,0.945,-0.642,0.277,-0.212,-0.162,0.582,-0.734,0.722,-0.37,0.729,-0.46,0.042,0.383,-0.34,0.389,-0.739,0.541,0.003,-0.278,0.306,-0.574
wtc1p08_3.krn,kern,3,minor,S,-0.31,-0.001,0.0,0.045,0.033,0.243,0.009,0.039,0.176,0.054,0.123,0.0,0.141,0.137,-0.671,0.209,-0.298,0.546,-0.047,-0.556,0.61,-0.388,0.315,-0.425,0.075,0.63,0.09,-0.144,-0.552,0.94,-0.293,-0.176,-0.014,0.026,0.575,-0.724,0.192,0.081
wtc1p09_4.krn,kern,4,major,S,0.1,0.001,0.0,0.036,0.018,0.0,0.696,0.0,0.054,0.0,0.071,0.071,0.0,0.054,0.152,-0.251,0.049,-0.378,0.77,-0.209,-0.242,0.016,-0.271,0.495,-0.335,0.203,-0.37,0.503,-0.088,-0.283,0.67,-0.178,0.008,-0.351,0.133,0.296,-0.34,-0.002
wtc1p10_4.krn,kern,4,minor,S,0.035,-0.002,0.0,0.0,0.061,0.0,0.091,0.0,0.0,0.121,0.091,0.364,0.0,0.273,0.051,-0.497,0.476,-0.365,0.469,-0.049,-0.333,0.343,-0.425,0.595,-0.391,0.125,-0.301,0.025,0.072,-0.395,0.337,-0.442,0.251,-0.111,0.131,0.56,-0.507,0.381
wtc1p11_5.krn,kern,5,major,S,-0.134,-0.0,0.05,0.082,0.138,0.003,0.138,0.198,0.005,0.119,0.0,0.124,0.095,0.048,0.392,-0.256,0.268,-0.267,-0.144,0.675,-0.549,0.264,-0.475,0.229,0.425,-0.562,-0.276,-0.197,0.809,-0.576,0.176,0.167,-0.133,0.259,-0.626,0.395,0.04,-0.038
wtc1p12_5.krn,kern,5,minor,S,0.018,-0.001,0.356,0.068,0.011,0.054,0.028,0.214,0.011,0.083,0.063,0.028,0.068,0.014,0.68,0.084,-0.521,0.18,-0.454,0.698,-0.288,-0.036,0.347,-0.485,0.263,-0.469,0.672,-0.24,0.067,-0.269,-0.115,0.68,-0.459,0.01,-0.353,0.345,0.191,-0.529
wtc1p13_6.krn,kern,6,major,S,0.2,-0.002,0.038,0.235,0.005,0.09,0.0,0.128,0.131,0.0,0.169,0.0,0.142,0.06,-0.639,0.95,-0.547,0.097,-0.092,-0.229,0.735,-0.743,0.534,-0.276,-0.005,0.214,-0.199,0.4,-0.356,0.419,-0.7,0.436,0.176,-0.359,0.328,-0.625,0.75,-0.269
wtc1p14_6.krn,kern,6,minor,S,-0.162,-0.0,0.005,0.155,0.093,0.021,0.113,0.005,0.206,0.0,0.119,0.165,0.0,0.119,-0.435,0.19,0.473,-0.722,0.582,-0.542,0.461,-0.151,-0.305,0.74,-0.742,0.451,-0.709,0.584,-0.196,-0.014,0.014,-0.446,0.902,-0.603,0.171,0.053,-0.178,0.422
wtc1p15_7.krn,kern,7,major,S,0.138,0.0,0.086,0.078,0.118,0.043,0.121,0.014,0.086,0.19,0.043,0.138,0.0,0.083,0.493,-0.525,0.664,-0.387,0.163,-0.146,-0.413,0.83,-0.521,0.447,-0.447,-0.158,-0.025,0.038,0.099,-0.57,0.692,-0.498,0.215,0.263,-0.292,0.393,-0.696,0.381
wtc1p16_7.krn,kern,7,minor,S,-0.145,0.002,0.152,0.033,0.122,0.033,0.009,0.047,0.047,0.345,0.03,0.047,0.122,0.014,0.552,-0.303,0.165,0.305,-0.579,0.25,-0.356,0.709,-0.117,-0.421,0.322,-0.526,0.469,-0.528,0.166,-0.317,0.253,-0.005,-0.373,0.854,-0.4,-0.015,-0.116,0.011
wtc1p17_8.krn,kern,8,major,S,0.267,-0.002,0.136,0.03,0.015,0.258,0.0,0.015,0.0,0.106,0.227,0.0,0.212,0.0,-0.175,0.221,-0.593,0.901,-0.315,-0.134,-0.002,-0.305,0.793,-0.628,0.355,-0.12,0.634,-0.134,-0.371,0.433,-0.358,0.301,-0.587,0.314,0.433,-0.364,0.256,-0.557
wtc1p18_8.krn,kern,8,minor,S,-0.227,-0.001,0.018,0.151,0.021,0.121,0.086,0.03,0.098,0.065,0.189,0.012,0.095,0.115,-0.674,0.621,-0.435,0.166,0.398,-0.763,0.559,-0.447,0.543,-0.164,-0.384,0.579,-0.153,0.559,-0.728,0.416,-0.187,0.084,0.024,-0.363,0.848,-0.666,0.197,-0.031
wtc1p19_9.krn,kern,9,major,S,0.103,-0.001,0.0,0.152,0.097,0.026,0.15,0.012,0.138,0.021,0.106,0.176,0.006,0.117,-0.355,0.07,0.51,-0.748,0.713,-0.505,0.227,-0.059,-0.362,0.884,-0.738,0.362,-0.749,0.676,-0.091,-0.2,0.171,-0.48,0.781,-0.583,0.165,0.194,-0.277,0.393
wtc1p20_9.krn,kern,9,minor,S,-0.227,-0.0,0.123,0.037,0.112,0.015,0.092,0.09,0.053,0.07,0.049,0.284,0.005,0.071,0.417,-0.454,0.535,-0.448,0.127,0.417,-0.524,0.271,-0.413,0.671,-0.206,-0.392,-0.142,-0.03,0.457,-0.597,0.169,-0.187,0.354,-0.095,-0.442,0.898,-0.404,0.02
wtc1p21_10.krn,kern,10,major,S,-0.012,0.002,0.1,0.01,0.17,0.035,0.062,0.207,0.003,0.125,0.0,0.113,0.16,0.015,0.424,-0.343,0.168,0.174,-0.585,0.841,-0.555,0.24,-0.262,-0.174,0.805,-0.732,0.121,-0.643,0.853,-0.316,-0.101,0.242,-0.359,0.594,-0.684,0.295,0.169,-0.172
wtc1p22_10.krn,kern,10,minor,S,-0.037,0.001,0.126,0.089,0.016,0.132,0.005,0.166,0.026,0.018,0.039,0.066,0.316,0.0,-0.149,0.265,-0.565,0.574,-0.498,0.458,0.144,-0.526,0.292,-0.453,0.799,-0.34,0.194,-0.279,0.134,0.334,-0.567,0.352,-0.389,0.302,-0.205,-0.166,0.836,-0.546
wtc1p23_11.krn,kern,11,major,S,0.108,0.003,0.0,0.112,0.0,0.118,0.076,0.0,0.178,0.007,0.181,0.02,0.062,0.247,-0.641,0.277,-0.177,-0.13,0.565,-0.752,0.658,-0.317,0.148,0.006,-0.555,0.919,-0.294,0.354,-0.732,0.497,-0.02,-0.23,0.278,-0.548,0.811,-0.468,-0.044,0.394
wtc1p24_11.krn,kern,11,minor,S,-0.169,-0.001,0.003,0.114,0.114,0.008,0.13,0.013,0.197,0.085,0.043,0.101,0.027,0.165,-0.239,-0.157,0.629,-0.748,0.523,-0.531,0.396,0.293,-0.688,0.568,-0.606,0.56,-0.697,0.269,-0.131,-0.048,0.403,-0.674,0.715,-0.274,0.038,-0.072,-0.326,0.798
